{'text': 'the LEF/TCF family One of the target genes for beta catenin/TCF encodes c MYC explaining why constitutive activation of the WNT pathway can lead to cancer particularly in the colon Most colon cancers arise from mutations in the gene encoding [E1] adenomatous polyposis coli [\\E1] APC a protein required for ubiquitin mediated degradation of beta catenin but a small percentage of colon and some other cancers harbour beta catenin stabilizing mutations Recently we discovered that transgenic mice expressing an activated beta catenin are predisposed', 'mention_data': {'kb_id': 'D011125', 'candidates': ['D011125', 'C566778', 'D018256', 'C563924', 'C562730', 'D008949', 'C090876', 'C563250', 'D025601', 'C031511', 'D018262', 'D000238', 'C000671802', 'C407009', 'C062351', 'C111578', 'C061075', 'C000613192', 'C000645531', 'D017188', 'C048567', 'C000623798', 'C000699842', 'D018196', 'D000236', 'D017157', 'C017991', 'C538110', 'C526457', 'C018446', 'C538265', 'C055772', 'C017990', 'C011626', 'C022571', 'C018444', 'C027800', 'C000699812', 'C022570', 'C030812', 'C015651', 'C542391', 'C524259', 'C018775', 'D000235', 'C000691299', 'D044483', 'C000647324', 'C503443', 'C049300', 'C026520', 'C520193', 'C406809', 'C000662092', 'C000662061', 'D000261', 'D062788', 'C000640097', 'C538232', 'C000662013', 'C000647651', 'D018194', 'C000661085', 'C044618']}}
{'text': 'HFE mutations analysis in 711 hemochromatosis probands evidence for S65C implication in mild form of [E1] hemochromatosis [\\E1] Hereditary hemochromatosis HH is a common autosomal recessive genetic disorder of iron metabolism The HFE candidate gene encoding an HLA class I like protein involved in HH was identified in 1996 Two missense mutations have been described C282Y accounting', 'mention_data': {'kb_id': 'D006432', 'candidates': ['D006432', 'C579887', 'D006486', 'C537249', 'C007955', 'C536394', 'D006491', 'C001332', 'C565801', 'D018216', 'C566557', 'C537248', 'C535858', 'C537247', 'D051516', 'C537254', 'D006410', 'D010007', 'D018056', 'D006391', 'D006470', 'D000080365', 'D020786', 'C563215', 'D006485', 'C567034', 'D006431', 'D006405', 'D006392', 'D006487', 'C562937', 'D000747', 'D006402', 'C536068', 'C563478', 'D008216', 'D006394', 'D006483', 'C535861', 'D000097545', 'D006474', 'D030243', 'D019337', 'D020138', 'C562438', 'C537914', 'D006488', 'C000719204', 'D002832', 'D011081', 'D051359', 'D010024', 'C101983', 'D006468', 'D002813', 'D015838', 'D012771', 'C541858', 'C507620', 'C016485', 'D055034', 'C455135', 'D057898', 'C000631772']}}
{'text': 'report here on the analysis of C282Y H63D and the 193A T substitution leading to the S65C missense substitution in a large series of probands and controls The results confirm that the C282Y substitution was the main mutation involved in [E1] hemochromatosis [\\E1] accounting for 85 of carrier chromosomes whereas the H63D substitution represented 39 of the HH chromosomes that did not carry the C282Y mutation In addition our screening showed that the S65C substitution was significantly enriched in probands with at', 'mention_data': {'kb_id': 'D006432', 'candidates': ['D006432', 'C579887', 'C007955', 'C001332', 'C537249', 'D006491', 'C536394', 'C535858', 'C566557', 'D006410', 'C537248', 'C537247', 'D057898', 'D006486', 'D051516', 'D006485', 'C507620', 'D018056', 'D000072837', 'C565801', 'D006400', 'C064141', 'C016485', 'D006570', 'D019337', 'C000719204', 'D051359', 'D000081942', 'D006487', 'D006394', 'D006470', 'D006391', 'C537254', 'C562937', 'D006431', 'D020786', 'D006468', 'C048532', 'C101983', 'C000631772', 'C085122', 'D018216', 'D006405', 'C052235', 'D006488', 'C541858', 'C401961', 'D006392', 'C563215', 'C455135', 'D006402', 'D002836', 'C000693764', 'C000650842', 'D006384', 'C549656', 'C567034', 'D006406', 'D002832', 'C564415', 'C537814', 'C061223', 'C046189', 'C073929']}}
{'text': 'one chromosome without an assigned mutation This substitution accounted for 7 8 of HH chromosomes that were neither C282Y nor H63D This enrichment of S65C among HH chromosomes suggests that the S65C substitution is associated with the mild form of [E1] hemochromatosis [\\E1]', 'mention_data': {'kb_id': 'D006432', 'candidates': ['D006432', 'C579887', 'C537249', 'D006486', 'D006491', 'C566557', 'C536394', 'C537248', 'C537247', 'C007955', 'D051516', 'C535858', 'D000080365', 'C537254', 'D006391', 'D006410', 'D020786', 'C565801', 'D006431', 'D006392', 'D018216', 'C001332', 'C567034', 'D051359', 'C562937', 'D002836', 'D008216', 'C000719204', 'D006394', 'D006483', 'C562438', 'D017488', 'D004684', 'D000747', 'D010007', 'D057898', 'D019337', 'D006468', 'D030243', 'D020138', 'D018056', 'D006402', 'D011081', 'D006188', 'D006470', 'D000072837', 'C536068', 'D018325', 'D006405', 'C535861', 'C581942', 'C507620', 'D002832', 'D006474', 'D006484', 'C101983', 'D006467', 'D006485', 'C537451', 'D006400', 'D006453', 'C562995', 'D006411', 'D002828']}}
{'text': 'Familial deficiency of the seventh component of complement associated with recurrent bacteremic infections due to Neisseria The serum of a 29 year old woman with a recent episode of disseminated gonococcal infection and a history of meningococcal meningitis and [E1] arthritis [\\E1] as a child was found to lack serum hemolytic complement activity The seventh component of complement C7 was not detected by functional or immunochemical assays whereas other components were normal by hemolytic and immunochemical assessment Her fresh serum lacked', 'mention_data': {'kb_id': 'D001168', 'candidates': ['D001168', 'D001170', 'D001172', 'D016918', 'D010003', 'D015535', 'D015210', 'D001169', 'D001171', 'C563037', 'D012279', 'D009187', 'D008193', 'D009260', 'D014399', 'D010019', 'C565798', 'D015207', 'C564770', 'C563852', 'D011565', 'D010001', 'D014390', 'D000544', 'C535888', 'C562385', 'D007592', 'D014394', 'D020370', 'C564622', 'D004535', 'D000092464', 'D009220', 'D010000', 'C563030', 'D020594', 'D004697', 'D001176', 'D009135', 'D013166', 'D000783', 'D014376', 'D007249', 'D058225', 'D004550', 'C565728', 'C000730513', 'D000567', 'C567000', 'D001848', 'D006261', 'D018798', 'D002062', 'D009262', 'D010018', 'D016706', 'D013122', 'D055013', 'D000686', 'D000741', 'D020306', 'C565228', 'D059350', 'C566054']}}
{'text': 'C7 activity could not be accounted for on the basis of an inhibitor Opsonization and generation of chemotactic activity functioned normally Complete absence of C7 was also found in one sibling who had the clinical syndrome of meningococcal meningitis and [E1] arthritis [\\E1] as a child and in this siblings clinically well eight year old son HLA histocompatibility typing of the family members did not demonstrate evidence for genetic linkage of C7 deficiency with the major histocompatibility loci This report represents the', 'mention_data': {'kb_id': 'D001168', 'candidates': ['D001168', 'D001170', 'D001172', 'D016918', 'D010003', 'D015535', 'D015210', 'D001169', 'D001171', 'C563037', 'D012279', 'C564770', 'D009187', 'D015207', 'D014390', 'D000544', 'D014399', 'D008193', 'C562385', 'C564622', 'D009260', 'C565798', 'C565728', 'C563030', 'D011565', 'D013166', 'C563852', 'D020594', 'C566299', 'D010019', 'D004535', 'D004550', 'D010001', 'D020370', 'D055013', 'C535888', 'D014394', 'C567000', 'D000092464', 'D000783', 'D001176', 'D018798', 'D012272', 'D009135', 'D009220', 'C565228', 'D020306', 'C564329', 'C564330', 'D004697', 'C567144', 'D009262', 'D058225', 'C000730513', 'D016706', 'D000567', 'D053713', 'C566054', 'C565251', 'C579880', 'D025242', 'D008581', 'C562774', 'C538407']}}
{'text': 'GCH1 mutation in a patient with adult onset oromandibular dystonia The authors report a mutation in exon 5 of GCH1 in a patient with adult onset oromandibular dystonia and no obvious family history of [E1] dystonia [\\E1] The patient responded positively to treatment with L dopa These findings demonstrate that GCH1 mutations must be considered even in patients with dystonic symptoms not typical of dopa responsive dystonia', 'mention_data': {'kb_id': 'D004421', 'candidates': ['D004421', 'C538007', 'C567844', 'C562657', 'D004401', 'C537704', 'D004410', 'C567131', 'D004411', 'C566973', 'D020821', 'D010243', 'D004417', 'D004413', 'C564983', 'D059445', 'D004422', 'D053159', 'C564095', 'D001259', 'C565505', 'C537998', 'C565864', 'C538190', 'C567730', 'D055154', 'D020820', 'C563378', 'C565506', 'D004420', 'C565396', 'C563348', 'C535995', 'C566514', 'C537385', 'C565748', 'C566687', 'C567709', 'D019263', 'D002526', 'C535672', 'C536671', 'C563716', 'D014202', 'D020955', 'C567319', 'C563844', 'D009136', 'D003680', 'C536670', 'D004402', 'C536969', 'C564802', 'C564317', 'C565932', 'D002524', 'C536170', 'C536988', 'C535734', 'C537583', 'C538001', 'C580039', 'D009069', 'D004408']}}
{'text': 'Mutation and haplotype studies of [E1] familial Mediterranean fever [\\E1] reveal new ancestral relationships and evidence for a high carrier frequency with reduced penetrance in the Ashkenazi Jewish population Familial Mediterranean fever FMF is a recessive disorder characterized by episodes of fever with serositis or synovitis The FMF gene', 'mention_data': {'kb_id': 'D010505', 'candidates': ['D010505', 'C536657', 'C538489', 'C536611', 'C000591739', 'C536846', 'C536961', 'C536228', 'C580087', 'C565569', 'C567176', 'C536004', 'C536231', 'C535648', 'C531622', 'C536847', 'C531598', 'C580075', 'C531673', 'C536848', 'C538544', 'C538572', 'D000071070', 'C565025', 'D053098', 'C000649143', 'C566262', 'C536388', 'C536845', 'C566172', 'C531624', 'C536387', 'C536911', 'D065627', 'C000652649', 'C564336', 'C000625833', 'C564136', 'C565578', 'C000645266', 'C565024', 'C000649163', 'C538493', 'C538553', 'C536851', 'C536609', 'D014007', 'D001907', 'C564416', 'C531774', 'C000691885', 'C537180', 'D056660', 'C537238', 'C564638', 'C536852', 'C536275', 'D000080345', 'C538514', 'C000674033', 'C023456', 'C565789', 'D001742', 'C536610']}}
{'text': 'Mutation and haplotype studies of familial Mediterranean fever reveal new ancestral relationships and evidence for a high carrier frequency with reduced penetrance in the Ashkenazi Jewish population [E1] Familial Mediterranean fever [\\E1] FMF is a recessive disorder characterized by episodes of fever with serositis or synovitis The FMF gene MEFV was cloned recently and four missense mutations were identified Here we present data from non Ashkenazi Jewish and Arab patients in', 'mention_data': {'kb_id': 'D010505', 'candidates': ['D010505', 'C536657', 'C538489', 'C536846', 'C536228', 'C536611', 'C000591739', 'C580087', 'C536961', 'C536231', 'C567176', 'C565569', 'C531622', 'C536004', 'C566262', 'C536848', 'C580075', 'C536847', 'C564336', 'C535648', 'D053098', 'C565025', 'C536845', 'C566172', 'C531673', 'C536388', 'C538544', 'C531598', 'C538572', 'C564416', 'C565024', 'D000071070', 'C565907', 'D065627', 'C537238', 'C565578', 'C564136', 'C538514', 'C536387', 'C565312', 'C536852', 'C531774', 'C565022', 'C537180', 'C023456', 'C566117', 'C565789', 'C563467', 'C531624', 'C564638', 'C537963', 'C538553', 'C564198', 'C538493', 'C536609', 'C565577', 'C000625833', 'C536911', 'C565084', 'C000649163', 'C567752', 'C564427', 'C536612', 'C536610']}}
{'text': 'and haplotype studies of familial Mediterranean fever reveal new ancestral relationships and evidence for a high carrier frequency with reduced penetrance in the Ashkenazi Jewish population Familial Mediterranean fever FMF is a recessive disorder characterized by episodes of fever with [E1] serositis [\\E1] or synovitis The FMF gene MEFV was cloned recently and four missense mutations were identified Here we present data from non Ashkenazi Jewish and Arab patients in whom we had not originally found mutations and from a new more', 'mention_data': {'kb_id': 'D012700', 'candidates': ['D012700', 'D010522', 'D009220', 'D018805', 'C537337', 'D004751', 'D009187', 'C562659', 'D013591', 'D001201', 'C097138', 'D000069078', 'D014987', 'D011565', 'D012699', 'D006486', 'C536202', 'D010538', 'D003556', 'D000096722', 'D019283', 'D001198', 'D010493', 'D010915', 'D001196', 'D003882', 'D004818', 'C000695059', 'D059270', 'D013585', 'D010019', 'D012793', 'C000610433', 'D047030', 'C537236', 'D005122', 'D013584', 'D010267', 'C535954', 'C562606', 'D013927', 'D018746', 'D012509', 'D009198', 'D009920', 'D012514', 'C531719', 'D021866', 'D019115', 'D009443', 'D012477', 'D006505', 'D004403', 'D005759', 'D059265', 'D002481', 'D009188', 'C563952', 'C536777', 'D008480', 'D012523', 'D004753', 'D002764', 'C000640935']}}
{'text': 'studies of familial Mediterranean fever reveal new ancestral relationships and evidence for a high carrier frequency with reduced penetrance in the Ashkenazi Jewish population Familial Mediterranean fever FMF is a recessive disorder characterized by episodes of fever with serositis or [E1] synovitis [\\E1] The FMF gene MEFV was cloned recently and four missense mutations were identified Here we present data from non Ashkenazi Jewish and Arab patients in whom we had not originally found mutations and from a new more ethnically diverse', 'mention_data': {'kb_id': 'D013585', 'candidates': ['D013585', 'D013586', 'C535954', 'D045805', 'D013717', 'D004751', 'C000637827', 'D008581', 'D020814', 'C566087', 'D015864', 'D008584', 'D003234', 'D008586', 'D016919', 'D008585', 'D013591', 'D008216', 'D015838', 'D000712', 'D018805', 'D003231', 'D008583', 'D014581', 'D004238', 'C563952', 'D020083', 'C566090', 'D052016', 'D051516', 'D015434', 'D012793', 'D016920', 'C538254', 'D000074402', 'D000707', 'D004753', 'D004239', 'C562606', 'C000637850', 'D011776', 'D009187', 'D003233', 'D013581', 'D014627', 'D012852', 'D014987', 'C566095', 'D008582', 'D013584', 'D013582', 'D003236', 'D050500', 'D008590', 'D014615', 'D000070918', 'D004697', 'D016921', 'D021866', 'D009182', 'D003232', 'C000637844', 'D008205', 'D046608']}}
